,Performance Summary
Start Date,2019-12-01 00:00:00
End Date,2019-12-31 23:59:00
Total Days,30
CAGR,-86.64%
Max Drawdown,-16.87%
Cumulative Return,-15.29%
Annual Volatility,31.26%
Calmar Ratio,-5.1351
Skew,-0.9675
Kurtosis,2.588
Absolute Exposure (BTC),48.7161
Net Exposure (BTC),48.7161
Average Daily Position (BTC),60.1713
Average Daily Turnover (% of capital),5159.23%
Normalized CAGR,-177.85%
