,Performance Summary
Start Date,2019-12-01 00:00:00
End Date,2019-12-31 23:59:00
Total Days,30
CAGR,-95.98%
Max Drawdown,-23.67%
Cumulative Return,-23.31%
Annual Volatility,37.81%
Calmar Ratio,-4.0558
Skew,0.3819
Kurtosis,0.5289
Absolute Exposure (BTC),49.592
Net Exposure (BTC),49.592
Average Daily Position (BTC),59.8667
Average Daily Turnover (% of capital),9370.47%
Normalized CAGR,-193.55%
