,Performance Summary
Start Date,2019-12-01 00:00:00
End Date,2019-12-31 23:59:00
Total Days,30
CAGR,-47.15%
Max Drawdown,-16.85%
Cumulative Return,-5.11%
Annual Volatility,49.85%
Calmar Ratio,-2.7982
Skew,2.0948
Kurtosis,6.6122
Absolute Exposure (BTC),99.5167
Net Exposure (BTC),99.5167
Average Daily Position (BTC),130.9971
Average Daily Turnover (% of capital),3.21%
Normalized CAGR,-47.38%
