,Performance Summary
Start Date,2019-12-01 00:00:00
End Date,2019-12-31 23:59:00
Total Days,30
CAGR,100.31%
Max Drawdown,-9.16%
Cumulative Return,5.87%
Annual Volatility,41.81%
Calmar Ratio,10.9495
Skew,2.8283
Kurtosis,11.3725
Absolute Exposure (BTC),50.6549
Net Exposure (BTC),50.6549
Average Daily Position (BTC),71.3389
Average Daily Turnover (% of capital),5598.59%
Normalized CAGR,198.03%
