,Performance Summary
Start Date,2019-12-01 00:00:00
End Date,2019-12-31 23:59:00
Total Days,30
CAGR,-43.71%
Max Drawdown,-9.65%
Cumulative Return,-4.62%
Annual Volatility,24.31%
Calmar Ratio,-4.5272
Skew,-1.2628
Kurtosis,1.3856
Absolute Exposure (BTC),49.4417
Net Exposure (BTC),49.4417
Average Daily Position (BTC),67.1928
Average Daily Turnover (% of capital),1311.48%
Normalized CAGR,-88.4%
