time,open,close,high,low,volume
2018-11-01 00:00:00,6368.4,6376.5680588,6378.0,6368.4,46.47019538
2018-11-01 00:01:00,6374.7726594999995,6374.7726594999995,6374.7726594999995,6374.7726594999995,0.076973
2018-11-01 00:02:00,6374.8,6374.7,6374.8,6374.7,0.10624679
2018-11-01 00:03:00,6374.7,6374.8,6374.8,6374.7,0.6951491999999999
2018-11-01 00:04:00,6374.7,6374.7,6374.7,6374.7,0.01
2018-11-01 00:05:00,6374.7,6373.0,6374.7,6370.4,8.89264039
2018-11-01 00:06:00,6373.048984399999,6372.0,6373.048984399999,6371.1,3.48584877
2018-11-01 00:07:00,6372.02382642,6372.1,6372.1,6372.02382642,0.47464379
2018-11-01 00:08:00,6372.1,6373.4,6373.4,6372.1,0.73384811
2018-11-01 00:11:00,6373.3,6373.3,6373.3,6373.3,0.1246
2018-11-01 00:12:00,6373.3,6373.3,6373.3,6373.3,0.16453905
2018-11-01 00:13:00,6373.3,6370.4,6373.3,6370.4,10.0
2018-11-01 00:14:00,6372.1,6371.0,6372.3,6370.3,4.48878789
2018-11-01 00:15:00,6371.1,6371.1,6371.1,6371.0,0.08004162
2018-11-01 00:16:00,6371.0,6371.0,6371.0,6371.0,0.11347229
2018-11-01 00:17:00,6371.0,6371.0,6371.0,6371.0,0.04801744
2018-11-01 00:19:00,6371.0,6371.0,6371.0,6371.0,0.29713472
2018-11-01 00:21:00,6371.1,6371.1,6371.1,6371.1,0.083
2018-11-01 00:22:00,6371.07862943,6364.7,6371.07862943,6362.3,101.33628345
2018-11-01 00:23:00,6362.8,6362.6,6362.8,6362.6,0.38613938
2018-11-01 00:24:00,6362.7,6362.7,6362.7,6362.6,0.26355097
2018-11-01 00:25:00,6362.6,6362.7,6362.7,6362.6,0.7762818
2018-11-01 00:26:00,6362.7,6362.7,6362.7,6362.7,0.006
2018-11-01 00:27:00,6362.66108509,6362.7,6362.7,6362.66108509,0.01779299
2018-11-01 00:28:00,6362.6,6362.7,6362.7,6362.6,10.14
2018-11-01 00:29:00,6362.6,6362.6,6362.7,6362.6,0.40056991
2018-11-01 00:30:00,6362.6,6360.753333,6362.6,6358.2,40.01627009
2018-11-01 00:31:00,6360.7,6358.3,6360.7,6356.8,79.94232181
2018-11-01 00:32:00,6358.4,6360.8,6360.8,6358.4,10.05436194
2018-11-01 00:35:00,6361.2,6361.2,6361.2,6361.2,0.57666681
2018-11-01 00:36:00,6361.2,6361.2,6361.2,6361.2,0.005
2018-11-01 00:37:00,6361.2,6361.2,6361.2,6361.2,0.0154
2018-11-01 00:38:00,6361.14140303,6357.8,6361.14140303,6357.8,80.00246514
2018-11-01 00:39:00,6358.1,6355.5,6358.1,6353.0,120.32537772
2018-11-01 00:40:00,6355.5,6355.5,6355.5,6355.49856878,5.28778214
2018-11-01 00:41:00,6355.5,6358.44823214,6360.3,6355.5,4.13492533
2018-11-01 00:42:00,6358.6,6356.242376,6358.6,6356.242376,0.52833468
2018-11-01 00:44:00,6356.3,6356.4,6356.4,6356.2,0.52
2018-11-01 00:45:00,6356.3,6356.4,6356.4,6356.3,5.29837239
2018-11-01 00:46:00,6356.4,6356.8,6356.8,6356.4,0.21797217
2018-11-01 00:47:00,6356.8,6356.8,6356.8,6356.8,0.099691
2018-11-01 00:49:00,6356.8627566000005,6356.9,6356.9,6356.8,0.36458651
2018-11-01 00:50:00,6356.9,6356.9,6356.9,6356.9,0.01397303
2018-11-01 00:51:00,6356.8,6356.8,6356.8,6356.8,0.38490818
2018-11-01 00:52:00,6356.8,6356.9,6356.9,6356.8,3.22218943
2018-11-01 00:53:00,6356.9,6362.3,6362.3,6356.86205394,2.73957565
2018-11-01 00:54:00,6365.3,6365.2942269,6365.3,6365.2942269,0.06755214
2018-11-01 00:55:00,6365.2942269,6365.2942269,6365.2942269,6365.2942269,0.01285644
2018-11-01 00:56:00,6364.2,6364.1,6364.2,6364.1,0.02209319
2018-11-01 00:58:00,6364.2,6364.04826213,6364.2,6364.04826213,0.03009511
2018-11-01 00:59:00,6364.04826213,6364.04826213,6364.04826213,6364.04826213,0.031525
2018-11-01 01:00:00,6364.04826213,6364.1,6364.1,6364.04826213,0.4537492
2018-11-01 01:01:00,6364.1,6364.1,6364.1,6364.1,6.00411307
2018-11-01 01:02:00,6364.1,6364.0,6364.1,6364.0,2.6866736
2018-11-01 01:03:00,6363.23208772,6363.2,6363.23208772,6363.2,0.03839074
2018-11-01 01:04:00,6363.2,6363.2,6363.2,6363.2,0.05082769
2018-11-01 01:07:00,6363.2,6363.3,6363.3,6363.2,0.24648404
2018-11-01 01:08:00,6363.2,6362.7,6363.2,6362.7,0.28703140000000005
2018-11-01 01:09:00,6363.14472,6362.4,6363.14472,6362.4,10.52985047
2018-11-01 01:10:00,6362.3,6362.3,6362.3,6362.3,9.91463469
2018-11-01 01:11:00,6362.2,6362.3,6362.3,6362.2,0.6661199999999999
2018-11-01 01:12:00,6362.3,6362.2,6362.3,6362.2,10.07912167
2018-11-01 01:13:00,6362.3,6361.0,6362.3,6361.0,8.11132669
2018-11-01 01:14:00,6361.0,6360.5,6361.0,6360.4,4.73472998
2018-11-01 01:15:00,6360.5,6360.5,6360.5,6360.5,0.03156831
2018-11-01 01:16:00,6360.5,6360.1,6360.5,6360.1,10.99224417
2018-11-01 01:17:00,6360.3,6360.3,6360.3,6360.3,0.73558819
2018-11-01 01:18:00,6360.3,6360.3,6360.3,6360.3,0.1416335
2018-11-01 01:19:00,6360.3,6360.3,6360.3,6360.3,0.52846847
2018-11-01 01:20:00,6360.3,6360.3,6360.3,6360.3,0.00455551
2018-11-01 01:22:00,6360.3,6360.2,6360.9,6360.2,13.26562492
2018-11-01 01:23:00,6360.4,6360.4,6360.5,6360.3940789,0.27854011
2018-11-01 01:24:00,6360.4,6360.4,6360.4,6360.4,0.42136823
