,Performance Summary
Start Date,2019-12-01 00:00:00
End Date,2019-12-31 23:59:00
Total Days,30
CAGR,-37.26%
Max Drawdown,-7.96%
Cumulative Return,-3.76%
Annual Volatility,22.77%
Calmar Ratio,-4.6789
Skew,1.5145
Kurtosis,5.4852
Absolute Exposure (BTC),48.6177
Net Exposure (BTC),48.6177
Average Daily Position (BTC),65.0546
Average Daily Turnover (% of capital),61215.67%
Normalized CAGR,-76.65%
