,Performance Summary
Start Date,2017-11-01 00:00:00
End Date,2017-11-30 23:59:00
Total Days,29
CAGR,295.19%
Max Drawdown,-27.74%
Cumulative Return,11.51%
Annual Volatility,85.13%
Calmar Ratio,10.6403
Skew,-0.7996
Kurtosis,1.7964
Absolute Exposure (BTC),48.9942
Net Exposure (BTC),48.9942
Average Daily Position (BTC),66.0668
Average Daily Turnover (% of capital),67764.02%
Normalized CAGR,602.5%
