,Performance Summary
Start Date,2018-11-01 00:00:00
End Date,2018-11-30 23:59:00
Total Days,29
CAGR,-96.54%
Max Drawdown,-27.13%
Cumulative Return,-23.55%
Annual Volatility,48.79%
Calmar Ratio,-3.5587
Skew,-0.7352
Kurtosis,2.4068
Absolute Exposure (BTC),50.2536
Net Exposure (BTC),50.2536
Average Daily Position (BTC),85.2122
Average Daily Turnover (% of capital),70101.22%
Normalized CAGR,-192.1%
