,old_index,time,open,close,high,low,volume
0,469743,2019-12-01 00:00:00,7599.3,7597.1,7599.3,7597.1,0.42141127
1,469744,2019-12-01 00:01:00,7597.12777825,7600.0,7600.0,7597.1,22.65144039
2,469745,2019-12-01 00:02:00,7600.0,7600.0,7600.1,7600.0,19.84078758
3,469746,2019-12-01 00:03:00,7600.0,7596.0,7600.0608144,7596.0,8.37904241
4,469747,2019-12-01 00:04:00,7596.0,7594.3,7596.0,7593.0,0.14578825
5,469748,2019-12-01 00:05:00,7593.6670704,7587.0,7600.0,7587.0,75.78939082
6,469749,2019-12-01 00:06:00,7587.0,7584.12635582,7587.1,7583.3,9.14043627
7,469750,2019-12-01 00:07:00,7584.12635582,7585.55871592,7585.55871592,7583.0,0.54017011
8,469751,2019-12-01 00:08:00,7585.55871592,7584.5,7585.6,7584.5,0.40283278
9,469752,2019-12-01 00:09:00,7584.5,7578.6,7584.5,7578.6,0.53510905
10,469753,2019-12-01 00:10:00,7578.61727852,7577.3,7578.7,7577.3,0.92404769
11,469754,2019-12-01 00:11:00,7577.4,7577.3,7577.4,7577.3,0.19980955
12,469755,2019-12-01 00:12:00,7577.3,7561.2,7577.4,7561.2,6.3455053700000015
13,469756,2019-12-01 00:13:00,7561.4,7557.8,7564.8,7552.2,2.66944934
14,469757,2019-12-01 00:14:00,7557.8,7555.9,7560.1,7552.6,2.62775112
15,469758,2019-12-01 00:15:00,7555.9,7562.2,7562.2,7555.8096985,1.010138
16,469759,2019-12-01 00:16:00,7564.9,7564.9,7564.9,7564.8,0.150078
17,469760,2019-12-01 00:17:00,7564.9,7554.6,7564.9,7554.6,0.96618957
18,469761,2019-12-01 00:18:00,7554.7,7554.4,7554.7,7548.8,2.19226705
19,469762,2019-12-01 00:19:00,7554.26715685,7554.0,7554.3,7554.0,0.5599999999999999
20,469763,2019-12-01 00:20:00,7554.0,7546.2,7554.0,7541.2,1.71686401
21,469764,2019-12-01 00:21:00,7544.3,7547.6,7548.3,7541.7,5.35324223
22,469765,2019-12-01 00:22:00,7547.6,7544.8,7547.65626409,7540.0,4.0344199000000005
23,469766,2019-12-01 00:23:00,7549.2,7544.02027307,7549.2,7542.9,0.08415351
24,469767,2019-12-01 00:24:00,7548.5,7553.0,7553.0,7548.5,0.47372803
25,469768,2019-12-01 00:25:00,7553.0,7549.7,7553.0,7549.7,0.90759156
26,469769,2019-12-01 00:26:00,7550.6,7548.8,7550.6,7544.3,7.20105892
27,469770,2019-12-01 00:27:00,7548.4,7541.6,7548.4,7535.4,1.96202362
28,469771,2019-12-01 00:28:00,7541.70646061,7535.3,7542.0,7535.3,0.4646299
29,469772,2019-12-01 00:29:00,7535.6,7540.27410051,7540.3,7535.6,0.7756517900000001
30,469773,2019-12-01 00:30:00,7540.27410051,7536.4177464,7540.27410051,7536.0,0.2379
31,469774,2019-12-01 00:31:00,7536.4177464,7547.2,7551.4,7536.4177464,0.6371545200000001
32,469775,2019-12-01 00:32:00,7549.7,7554.3,7554.4,7549.7,2.11
33,469776,2019-12-01 00:33:00,7554.4,7556.5,7556.5,7554.4,0.16726611
34,469777,2019-12-01 00:34:00,7556.6,7557.0,7557.0,7556.6,0.34021455
35,469778,2019-12-01 00:35:00,7558.2,7559.0,7562.8,7558.1,0.319
36,469779,2019-12-01 00:36:00,7559.0,7559.5,7561.2,7559.0,0.41637489
37,469780,2019-12-01 00:37:00,7559.5,7557.3,7559.5,7556.0,8.5299
