time,open,close,high,low,volume,Unnamed: 0
1592991780000,9500.0,9500.0,9500.0,9500.0,1.0,0.0
1592992440000,9500.0,9501.0,9501.0,9500.0,18.0,1.0
1592994840000,9501.0,9505.0,9505.0,9501.0,10.50700282,2.0
1592995020000,9500.0,9500.0,9500.0,9500.0,6.2536482200000005,3.0
1592995080000,9500.0,9338.7,9500.0,9338.7,7.24635178,4.0
1592998020000,9402.2,9398.5,9402.2,9398.5,1.0,5.0
1592998440000,9396.2,9405.5,9405.5,9396.2,2.0615837,6.0
1592999220000,9379.9,9370.2,9379.9,9370.2,0.02,7.0
1592999280000,9379.6,9379.6,9379.6,9379.6,0.01,8.0
1592999880000,9338.8,9329.5,9338.8,9329.5,2.05746,9.0
1593000000000,9312.6,9312.6,9312.6,9312.6,0.5,10.0
1593001200000,9376.2,9000.0,9376.2,9000.0,35.94439601,11.0
1593001260000,9361.1,9225.1,9361.1,9225.1,29.61713360000001,12.0
1593001320000,9000.0,1413.6,9000.0,1413.6,66.93851846,13.0
1593001440000,9332.5,9196.6,9332.5,9196.6,29.58328631,14.0
1593001560000,0.1,0.1,0.1,0.1,65.10706669,15.0
1593001620000,0.1,0.1,0.1,0.1,70.53690003,16.0
1593001680000,0.1,0.1,0.1,0.1,68.4125604,17.0
1593001740000,0.1,0.1,0.1,0.1,67.20190706,18.0
1593001800000,0.1,0.1,0.1,0.1,63.25829922,19.0
1593001860000,0.1,0.1,0.1,0.1,65.05546666,20.0
1593001920000,0.1,0.1,0.1,0.1,70.47553753,21.0
1593001980000,0.1,0.1,0.1,0.1,68.29730197,22.0
1593002040000,0.1,0.1,0.1,0.1,66.19606154,23.0
1593002100000,0.1,0.1,0.1,0.1,62.88602278,24.0
1593007620000,9520.0,9520.0,9520.0,9520.0,0.10504202,25.0
1593059760000,9038.0,8996.9,9038.0,8996.9,10.0,26.0
1593067620000,9190.0,9190.0,9190.0,9190.0,1.0,27.0
1593086400000,9260.6,9263.3,9267.5,9260.6,67.08414277,28.0
1593086460000,9264.4,9250.2,9264.4,9247.6,70.7908667,29.0
1593086520000,9251.6,9246.9,9251.6,9246.9,68.98678563,30.0
1593086580000,9250.2,9250.1,9250.5,9246.1,66.86466413,31.0
1593086640000,9249.9,9236.1,9249.9,9231.9,56.96381156,32.0
1593086700000,9238.5,9230.2,9239.2,9229.0,70.32149055000001,33.0
1593086760000,9231.6,9230.8,9233.2,9227.4,69.92412553,34.0
1593086820000,9231.3,9228.3,9231.3,9227.0,66.03370195,35.0
1593086880000,9229.6,9224.8,9229.7,9224.2,69.43598879999999,36.0
1593086940000,9226.7,9222.8,9226.7,9220.2,69.19166912,37.0
1593087000000,9222.8,9224.3,9226.0,9220.7,70.09343087,38.0
1593087060000,9225.8,9223.9,9227.2,9222.4,58.79571953,39.0
1593087120000,9227.4,9228.6,9231.4,9224.8,70.96299731,40.0
1593087180000,9230.0,9228.7,9230.4,9226.6,65.51548545,41.0
1593087240000,9228.7,9231.0,9231.2,9224.4,70.97629746,42.0
1593087300000,9231.2,9230.8,9231.9,9227.1,70.17367333,43.0
1593087360000,9230.9,9227.2,9231.1,9225.5,70.84128195,44.0
1593087420000,9229.5,9226.9,9229.5,9225.0,65.53622642,45.0
1593087480000,9227.5,9205.6,9227.5,9202.6,69.60547265,46.0
1593087540000,9205.9,9183.8,9205.9,9182.8,63.55700798,47.0
1593087600000,9188.3,9185.4,9189.2,9183.2,67.12435787,48.0
1593087660000,9187.7,9184.9,9187.7,9182.7,67.98389445,49.0
1593087720000,9186.5,9193.9,9194.4,9184.0,69.47558333,50.0
1593087780000,9194.9,9194.2,9195.5,9190.9,71.26464749,51.0
1593087840000,9195.2,9187.9,9195.5,9187.4,65.79344132,52.0
1593087900000,9189.8,9194.2,9194.7,9185.9,69.99784276,53.0
1593087960000,9194.7,9193.3,9196.5,9191.1,64.06386063,54.0
1593088020000,9196.5,9195.9,9196.6,9193.1,71.25165491,55.0
1593088080000,9195.8,9188.8,9195.8,9188.3,69.17666444,56.0
1593088140000,9189.6,9182.1,9189.9,9181.0,68.02762098,57.0
1593088200000,9184.4,9180.7,9184.5,9174.7,69.27929611,58.0
1593088260000,9182.9,9187.1,9188.5,9178.8,69.81600303,59.0
1593088320000,9188.4,9189.1,9191.4,9186.2,69.48031675,60.0
1593088380000,9189.1,9192.2,9192.2,9185.0,70.39055340000002,61.0
1593088440000,9192.2,9189.0,9192.4,9187.8,62.50450227,62.0
1593088500000,9192.9,9206.3,9207.0,9189.6,64.95178326999999,63.0
1593088560000,9206.7,9206.6,9207.1,9203.8,69.39194523,64.0
1593088620000,9207.1,9205.4,9208.5,9204.5,70.3061722,65.0
1593088680000,9207.9,9207.3,9208.7,9204.5,68.46591112,66.0
1593088740000,9208.7,9204.3,9208.7,9204.1,69.38801627,67.0
1593088800000,9204.9,9194.8,9204.9,9191.3,70.32664582,68.0
1593088860000,9196.1,9198.3,9199.9,9194.1,52.18066751,69.0
1593088920000,9196.4,9200.4,9202.1,9194.9,69.21593691,70.0
1593088980000,9200.8,9198.0,9201.9,9195.1,67.38086457,71.0
1593089040000,9201.3,9198.4,9201.3,9195.2,66.59124969999999,72.0
1593089100000,9198.9,9201.1,9201.6,9195.1,71.21735785999998,73.0
1593089160000,9202.5,9202.6,9203.1,9199.0,71.18350112,74.0
1593089220000,9203.0,9201.6,9203.9,9199.8,69.03902702,75.0
1593089280000,9203.9,9205.9,9206.4,9201.6,55.95902506,76.0
1593089340000,9203.6,9204.0,9206.7,9202.2,65.70737294,77.0
1593089400000,9206.3,9199.7,9206.3,9198.0,65.49887465,78.0
1593089460000,9199.7,9196.7,9199.8,9195.6,71.28057006,79.0
1593089520000,9194.8,9194.2,9195.2,9190.6,70.39559927,80.0
1593089580000,9194.7,9185.9,9194.7,9185.9,69.19318217,81.0
1593089640000,9187.4,9183.1,9188.0,9178.9,67.99265345,82.0
