,Performance Summary
Start Date,2019-12-01 00:00:00
End Date,2019-12-31 23:59:00
Total Days,30
CAGR,-100.0%
Max Drawdown,-99.35%
Cumulative Return,-99.35%
Annual Volatility,333.84%
Calmar Ratio,-1.0065
Skew,-1.6676
Kurtosis,1.6508
Absolute Exposure (BTC),16.8392
Net Exposure (BTC),16.8392
Average Daily Position (BTC),2.5866
Average Daily Turnover (% of capital),22370.9%
Normalized CAGR,-593.85%
